date, pm25, pm10, o3, no2, so2, co
2020-07-02, 139, 87, 17, 13, 9, 14
2020-07-03, 147, 93, 13, 14, 10, 14
2020-07-04, 155, 71, 10, 11, 9, 12
2020-07-05, 125, 43, 11, 10, 8, 12
2020-07-06, 85, 68, 5, 12, 8, 12
2020-07-07, 143, 51, 10, 8, 8, 12
2020-07-08, 79, 50, 5, 10, 8, 13
2020-07-09, 91, 58, 5, 12, 10, 12
2020-07-10, 118, 57, 5, 12, 11, 14
2020-07-11, 85, 49, 7, 13, 8, 12
2020-07-12, 78, 42, 2, 12, 6, 10
2020-07-13, 72, 72, 4, 14, 7, 11
2020-07-14, 90, 85, 2, 12, 9, 12
2020-07-15, 106, 69, 25, 10, 8, 11
2020-07-16, 120, 60, 4, 12, 8, 11
2020-07-17, 106, 63, 5, 12, 7, 12
2020-07-18, 132, 66, 4, 12, 8, 11
2020-07-19, 119, 45, 2, 11, 8, 10
2020-07-20, 97, 53, 8, 13, 8, 11
2020-07-21, 77, 45, 3, 12, 7, 10
2020-07-22, 90, 39, 3, 12, 7, 10
2020-06-04, 139, 104, 10, 18, 9, 14
2020-06-05, 156, 72, 36, 13, 9, 13
2020-06-06, 117, 68, 43, 14, 9, 12
2020-06-07, 105, 64, 25, 12, 9, 11
2020-06-08, 102, 78, 30, 13, 11, 13
2020-06-09, 131, 87, 21, 16, 11, 14
2020-06-10, 142, 113, 16, 21, 10, 15
2020-06-11, 134, 82, 12, 14, 10, 13
2020-06-12, 135, 90, 10, 14, 10, 14
2020-06-13, 150, 76, 8, 15, 8, 13
2020-06-14, 141, 83, 5, 13, 11, 15
2020-06-15, 148, 82, 24, 12, 13, 13
2020-06-16, 130, 76, 28, 14, 10, 13
2020-06-17, 108, 68, 20, 11, 10, 12
2020-06-18, 102, 69, 15, 12, 10, 13
2020-06-19, 111, 119, 11, 13, 9, 13
2020-06-20, 138, 74, 12, 13, 12, 12
2020-06-21, 105, 73, 9, 15, 11, 13
2020-06-22, 121, 62, 18, 13, 11, 14
2020-06-23, 123, 72, 6, 11, 10, 13
2020-06-24, 99, 67, 8, 9, 12, 11
2020-06-27, 114, 102, 5, 14, 11, 13
2020-06-28, 117, 175, 6, 14, 11, 12
2020-06-29, 128, 111, 9, 12, 9, 11
2020-06-30, 111, 85, 11, 11, 10, 11
2020-07-01, 135, 80, 14, 11, 9, 12
2020-05-02, 151, 79, 22, 9, 5, 13
2020-05-03, 99, 62, 13, 9, 5, 12
2020-05-04, 96, 45, 23, 9, 5, 13
2020-05-05, 81, 72, 23, 12, 6, 13
2020-05-06, 126, 106, 26, 11, 6, 13
2020-05-07, 144, 58, 32, 10, 5, 13
2020-05-08, 93, 76, 36, 11, 5, 13
2020-05-09, 124, 83, 33, 10, 6, 13
2020-05-10, 140, 103, 42, 10, 5, 11
2020-05-11, 114, 68, 36, 11, 5, 11
2020-05-12, 120, 70, 34, 11, 6, 12
2020-05-13, 123, 104, 32, 12, 6, 15
2020-05-14, 159, 81, 28, 12, 6, 13
2020-05-15, 144, 74, 28, 13, 6, 14
2020-05-16, 125, 89, 34, 15, 6, 14
2020-05-17, 152, 113, 37, 17, 8, 13
2020-05-18, 177, 119, 34, 19, 12, 15
2020-05-19, 175, 131, 31, 22, 10, 15
2020-05-20, 180, 97, 29, 17, 9, 13
2020-05-21, 142, 102, 21, 21, 9, 14
2020-05-22, 119, 148, 29, 25, 16, 17
2020-05-23, 192, 128, 10, 23, 10, 14
2020-05-24, 141, 107, 16, 15, 13, 13
2020-05-25, 128, 101, 16, 15, 13, 15
2020-05-26, 132, 127, 10, 19, 16, 15
2020-05-27, 130, 111, 24, 15, 9, 13
2020-05-28, 118, 138, 8, 11, 9, 13
2020-05-29, 98, 52, 2, 12, 8, 12
2020-05-30, 76, 49, 3, 12, 8, 12
2020-05-31, 78, 38, 2, 10, 8, 13
2020-06-01, 77, 48, 1, 11, 8, 15
2020-04-02, 104, 56, 2, 15, 5, 15
2020-04-03, 94, 51, 2, 18, 6, 14
2020-04-04, 96, 59, 2, 18, 7, 15
2020-04-05, 113, 94, 2, 17, 6, 18
2020-04-06, 147, 85, 2, 17, 6, 17
2020-04-07, 135, 71, 2, 16, 5, 15
2020-04-08, 89, 61, 3, 18, 6, 14
2020-04-09, 91, 59, 2, 19, 6, 17
2020-04-10, 109, 79, 2, 19, 6, 17
2020-04-11, 131, 81, 33, 15, 6, 14
2020-04-12, 128, 64, 28, 14, 6, 11
2020-04-13, 108, 88, 32, 16, 7, 11
2020-04-14, 139, 99, 40, 17, 6, 13
2020-04-15, 144, 114, 30, 16, 6, 12
2020-04-16, 143, 124, 33, 16, 7, 11
2020-04-17, 145, 66, 32, 14, 6, 9
2020-04-18, 84, 70, 30, 12, 6, 10
2020-04-19, 91, 54, 23, 13, 5, 12
2020-04-20, 105, 87, 15, 13, 5, 12
2020-04-21, 127, 63, 24, 12, 5, 11
2020-04-22, 114, 89, 30, 15, 6, 12
2020-04-23, 139, 90, 27, 14, 6, 13
2020-04-24, 132, 81, 31, 14, 5, 13
2020-04-25, 142, 63, 29, 12, 5, 11
2020-04-26, 85, 80, 19, 11, 5, 12
2020-04-27, 104, 46, 23, 10, 5, 11
2020-04-28, 85, 60, 30, 9, 6, 11
2020-04-29, 115, 77, 32, 10, 6, 12
2020-04-30, 137, 79, 34, 10, 5, 13
2020-05-01, 137, 92, 31, 10, 6, 12
2020-03-02, 138, 168, 4, 25, 7, 22
2020-03-03, 189, 146, 1, 17, 6, 22
2020-03-04, 162, 174, 9, 19, 7, 17
2020-03-05, 163, 88, 2, 13, 6, 15
2020-03-06, 121, 64, 2, 15, 5, 14
2020-03-07, 112, 151, 2, 29, 6, 21
2020-03-08, 170, 142, 4, 20, 5, 21
2020-03-09, 171, 110, 2, 20, 5, 16
2020-03-10, 149, 114, 5, 20, 6, 16
2020-03-11, 172, 94, 2, 17, 5, 15
2020-03-12, 149, 139, 6, 17, 6, 18
2020-03-13, 155, 165, 1, 21, 7, 19
2020-03-14, 163, 81, 1, 22, 5, 16
2020-03-30, 73, 53, 2, 15, 18, 13
2020-03-31, 100, 57, 1, 16, 6, 13
2020-04-01, 99, 62, 2, 16, 6, 14
2020-02-02, 201, 162, 2, 20, 4, 19
2020-02-03, 219, 233, 2, 24, 4, 20
2020-02-04, 247, 309, 3, 28, 4, 25
2020-02-05, 286, 197, 3, 24, 3, 18
2020-02-06, 237, 155, 3, 23, 4, 18
2020-02-07, 214, 167, 3, 26, 4, 19
2020-02-08, 214, 155, 2, 25, 3, 18
2020-02-09, 234, 179, 2, 25, 3, 20
2020-02-10, 249, 236, 3, 26, 4, 19
2020-02-11, 266, 255, 2, 27, 4, 21
2020-02-12, 258, 205, 4, 29, 3, 12
2020-02-13, 252, 136, 2, 27, 3, 11
2020-02-14, 182, 143, 2, 25, 3, 10
2020-02-15, 166, 126, 2, 26, 3, 10
2020-02-16, 173, 172, 2, 29, 3, 14
2020-02-17, 236, 217, 3, 30, 4, 16
2020-02-18, 257, 165, 2, 32, 3, 13
2020-02-19, 204, 162, 31, 40, 4, 11
2020-02-20, 179, 189, 25, 32, 4, 8
2020-02-21, 188, 80, 10, 25, 3, 6
2020-02-22, 136, 101, 11, 26, 4, 10
2020-02-23, 155, 122, 11, 27, 4, 9
2020-02-24, 181, 116, 12, 30, 4, 9
2020-02-25, 166, 157, 11, 35, 6, 20
2020-02-26, 217, 222, 5, 35, 9, 24
2020-02-27, 257, 210, 6, 29, 6, 21
2020-02-28, 200, 145, 4, 23, 6, 17
2020-02-29, 174, 122, 2, 22, 5, 16
2020-03-01, 154, 106, 4, 27, 6, 18
2020-01-02, 444, 482, 4, 14, 9, 27
2020-01-03, 419, 377, 3, 12, 8, 25
2020-01-04, 355, 245, 4, 14, 4, 21
2020-01-05, 286, 204, 4, 12, 4, 16
2020-01-06, 272, 197, 3, 10, 4, 17
2020-01-07, 250, 180, 7, 9, 5, 19
2020-01-08, 229, 108, 3, 6, 4, 16
2020-01-09, 207, 102, 5, 4, 3, 13
2020-01-10, 182, 153, 6, 6, 4, 17
2020-01-11, 214, 200, 7, 8, 4, 20
2020-01-12, 246, 301, 7, 8, 5, 23
2020-01-13, 309, 262, 7, 6, 4, 24
2020-01-14, 318, 115, 4, 4, 4, 16
2020-01-15, 197, 121, 4, 5, 4, 17
2020-01-16, 195, 134, 2, 5, 4, 18
2020-01-17, 232, 112, 2, 3, 4, 19
2020-01-18, 203, 131, 2, 3, 4, 19
2020-01-19, 208, 131, 2, 4, 4, 17
2020-01-20, 215, 178, 3, 6, 4, 19
2020-01-21, 244, 324, 5, 14, 5, 28
2020-01-22, 353, 206, 3, 13, 4, 24
2020-01-23, 287, 112, 2, 14, 4, 16
2020-01-24, 165, 122, 2, 17, 4, 17
2020-01-25, 176, 188, 2, 20, 4, 21
2020-01-26, 239, 263, 3, 18, 4, 23
2020-01-27, 322, 280, 3, 18, 4, 31
2020-01-28, 333, 164, 2, 13, 4, 19
2020-01-29, 201, 136, 3, 16, 4, 16
2020-01-30, 173, 139, 3, 20, 4, 17
2020-01-31, 184, 144, 2, 20, 4, 19
2020-02-01, 191, 168, 2, 20, 4, 18
2019-11-01, 424, 589, 13, 37, 11, 27
2019-11-02, 495, 367, 6, 26, 8, 18
2019-11-03, 384, 925, 5, 20, 6, 31
2019-11-04, 828, 389, 9, 24, 6, 17
2019-11-05, 400, 239, 17, 22, 7, 13
2019-11-06, 298, 181, 16, 31, 8, 14
2019-11-07, 197, 221, 6, 21, 6, 15
2019-11-08, 257, 190, 10, 25, 7, 16
2019-11-09, 233, 162, 6, 19, 6, 11
2019-11-10, 229, 180, 12, 21, 9, 12
2019-11-11, 246, 316, 14, 24, 10, 16
2019-11-12, 342, 534, 14, 24, 9, 18
2019-11-13, 509, 439, 12, 28, 10, 22
2019-11-14, 436, 511, 9, 30, 9, 24
2019-11-15, 446, 455, 8, 28, 8, 22
2019-11-16, 420, 236, 6, 17, 6, 13
2019-11-17, 265, 135, 5, 15, 5, 10
2019-11-18, 178, 155, 7, 18, 6, 15
2019-11-19, 209, 202, 7, 18, 6, 20
2019-11-20, 223, 338, 10, 15, 8, 23
2019-11-21, 296, 320, 10, 14, 9, 27
2019-11-22, 281, 294, 6, 14, 7, 25
2019-11-23, 281, 176, 6, 13, 5, 17
2019-11-24, 211, 139, 3, 10, 6, 16
2019-11-25, 172, 170, 4, 11, 6, 18
2019-11-26, 203, 233, 20, 12, 6, 20
2019-11-27, 204, 119, 6, 13, 4, 15
2019-11-28, 150, 80, 4, 16, 4, 13
2019-11-29, 116, 99, 6, 15, 5, 15
2019-11-30, 141, 150, 6, 18, 5, 17
2019-12-01, 194, 154, 13, 23, 5, 16
2019-12-02, 215, 202, 14, 25, 5, 18
2019-12-03, 249, 229, 12, 27, 6, 20
2019-12-04, 248, 289, 13, 29, 7, 20
2019-12-05, 272, 521, 8, 35, 6, 27
2019-12-06, 412, 335, 5, 28, 6, 23
2019-12-07, 334, 316, 6, 26, 5, 20
2019-12-08, 324, 381, 4, 25, 6, 23
2019-12-09, 353, 292, 8, 25, 5, 23
2019-12-10, 298, 401, 8, 29, 5, 26
2019-12-11, 359, 556, 10, 35, 5, 31
2019-12-12, 441, 450, 8, 17, 3, 24
2019-12-13, 400, 108, 4, 12, 3, 15
2019-12-14, 185, 135, 4, 11, 4, 18
2019-12-15, 188, 121, 3, 8, 3, 13
2019-12-16, 191, 112, 4, 10, 4, 14
2019-12-17, 178, 123, 6, 12, 4, 14
2019-12-18, 192, 160, 13, 15, 3, 15
2019-12-19, 242, 426, 9, 21, 4, 25
2019-12-20, 413, 482, 11, 20, 4, 25
2019-12-21, 451, 278, 6, 14, 3, 20
2019-12-22, 341, 141, 6, 12, 3, 16
2019-12-23, 224, 156, 6, 12, 4, 17
2019-12-24, 237, 332, 8, 16, 3, 21
2019-12-25, 351, 172, 5, 11, 3, 15
2019-12-26, 233, 204, 6, 12, 3, 16
2019-12-27, 272, 314, 7, 13, 4, 17
2019-12-28, 340, 375, 6, 13, 6, 21
2019-12-29, 360, 421, 10, 14, 6, 22
